Material,Magnetic Entropy Change,Magnetic Field,Curie Temperature,source,Number,Article Title,Source Title,DOI,mpid
ErFeO3,7.4,50 kOe,,table_only_1stcheck5057.txt,96,"A comparative study on magnetic behaviors and magnetocaloric effect in heavy rare-earth antiferromagnetic orthoferrites RFeO3 (R = Dy, Ho and Er)",CERAMICS INTERNATIONAL,10.1016/j.ceramint.2021.09.059,Mp-00516
HoFeO3,9.8,50 kOe,,table_only_1stcheck5057.txt,241,"A comparative study on magnetic behaviors and magnetocaloric effect in heavy rare-earth antiferromagnetic orthoferrites RFeO3 (R = Dy, Ho and Er)",CERAMICS INTERNATIONAL,10.1016/j.ceramint.2021.09.059,Mp-00517
GdFe6Al6,0.94,7 T,,table_only_1stcheck5078.txt,185,"Magnetocaloric effect of GdTX (T = Mn, Fe, Ni, Pd, X=Al, In) and GdFe6Al6 ternary compounds",INTERNATIONAL CONFERENCE ON MAGNETISM (ICM 2009),10.1088/1742-6596/200/9/092009,Mp-00518
GdNiAl,13.63,7 T,,table_only_1stcheck5078.txt,200,"Magnetocaloric effect of GdTX (T = Mn, Fe, Ni, Pd, X=Al, In) and GdFe6Al6 ternary compounds",INTERNATIONAL CONFERENCE ON MAGNETISM (ICM 2009),10.1088/1742-6596/200/9/092009,Mp-00519
GdPdAl,13.05,7 T,,table_only_1stcheck5078.txt,207,"Magnetocaloric effect of GdTX (T = Mn, Fe, Ni, Pd, X=Al, In) and GdFe6Al6 ternary compounds",INTERNATIONAL CONFERENCE ON MAGNETISM (ICM 2009),10.1088/1742-6596/200/9/092009,Mp-00520
GdPdIn,6.13,7 T,,table_only_1stcheck5078.txt,209,"Magnetocaloric effect of GdTX (T = Mn, Fe, Ni, Pd, X=Al, In) and GdFe6Al6 ternary compounds",INTERNATIONAL CONFERENCE ON MAGNETISM (ICM 2009),10.1088/1742-6596/200/9/092009,Mp-00521
CuRh2O4,2.72J K-1 mol(-1),nan T,,table_only_1stcheck5080.txt,41,Antiferromagnetic transition in CuRh2O4,JOURNAL OF PHYSICS AND CHEMISTRY OF SOLIDS,10.1016/S0022-3697(98)00310-2,Mp-00522
Pr2In,20,50 kOe,57,table_only_1stcheck5089.txt,333,"Correlating Crystallography, Magnetism, and Electronic Structure Across Anhysteretic First-Order Phase Transition in Pr2In",ECS JOURNAL OF SOLID STATE SCIENCE AND TECHNOLOGY,10.1149/2162-8777/ac611d,Mp-00523
MnCoGe,6.17,5 T,293,table_only_1stcheck5090.txt,293,"Structure, magnetocaloric properties and thermodynamic modeling of enthalpies of formation of (Mn,X)-Co-Ge (X = Zr, Pd) alloys",JOURNAL OF ALLOYS AND COMPOUNDS,10.1016/j.jallcom.2019.04.341,Mp-00524
MnCoGe,3.78,5 T,260.5,table_only_1stcheck5092.txt,294,Enhancement of Curie temperature and transition temperature range induced by Al doping in Mn1-xAlxCoGe,SOLID STATE COMMUNICATIONS,10.1016/j.ssc.2016.06.011,Mp-00525
HoMn2O5,7.8,70 kOe,,table_only_1stcheck5094.txt,242,Large reversible magnetocaloric effect in HoMn2O5,CHINESE PHYSICS B,10.1088/1674-1056/22/5/057502,Mp-00526
GdMnO3,31,0-80 kOe,,table_only_1stcheck5096.txt,193,Low temperature giant magnetocaloric effect in multiferroic GdMnO3 single crystals,JOURNAL OF PHYSICS D-APPLIED PHYSICS,10.1088/0022-3727/48/13/135001,Mp-00527
MnV2O4,24,4 T,57,table_only_1stcheck5101.txt,302,Observation of the large magnetocaloric effect in an orbital-spin-coupled system MnV2O4,JOURNAL OF PHYSICS-CONDENSED MATTER,10.1088/0953-8984/21/43/436010,Mp-00528
AlFe2B2,7.75,5 T,,table_only_1stcheck5103.txt,7,Magnetocaloric and cooling properties of the intermetallic compound AlFe2B2 in an AMR cycle system,INTERMETALLICS,10.1016/j.intermet.2018.10.025,Mp-00529
Eu3O4,12.7,5 T,,table_only_1stcheck5105.txt,114,The magnetothermal behavior of mixed-valence Eu3O4,JOURNAL OF APPLIED PHYSICS,10.1063/1.3204662,Mp-00530
